Longitude Latitude ArrivingTime LeavingTime LocationType AgentID
39.93589166666667 116.45308087499996 2009-06-21,03:03:01 2009-06-21,03:38:57 Workplace 153
39.99852416371682 116.3872109823008 2009-06-21,03:38:59 2009-06-21,04:08:00 Restaurant 153
39.99169367555555 116.3898087377778 2009-06-21,04:27:56 2009-06-21,05:00:27 Pub 153
39.991423569105656 116.38439539430904 2009-06-21,05:24:01 2009-06-21,05:53:31 Pub 153
39.99592591666666 116.39029741666673 2009-06-21,06:12:41 2009-06-21,06:52:45 Apartment 153
39.93163727777775 116.4501363611111 2009-06-21,07:02:17 2009-06-21,08:22:02 Workplace 153
39.93331666836735 116.44820247959188 2009-06-21,08:31:43 2009-06-21,08:54:27 Workplace 153
39.90975202255638 116.47190336842095 2009-06-08,00:22:05 2009-06-08,05:32:47 Pub 153
39.92790095278969 116.47200075536486 2009-06-08,05:37:23 2009-06-08,06:51:43 Apartment 153
39.93930215151514 116.45271572727276 2009-06-08,06:58:56 2009-06-08,07:34:48 Workplace 153
39.97696474390243 116.34760223170731 2009-06-08,07:34:49 2009-06-08,08:01:41 Workplace 153
39.975579896551714 116.33180944827583 2009-06-08,08:26:47 2009-06-08,12:20:58 Apartment 153
39.97402217647058 116.33730079411764 2009-06-08,12:23:35 2009-06-08,13:00:11 Pub 153
39.93196266666666 116.4462822222222 2011-01-29,03:30:41 2011-01-29,05:40:04 Workplace 153
39.97102619444444 116.44268005555558 2011-01-29,06:06:30 2011-01-29,09:21:34 Apartment 153
39.98656196428573 116.44878871428573 2011-01-29,10:22:08 2011-01-29,14:58:56 Apartment 153
40.01006596721275 116.46511181510638 2012-05-05,12:58:55 2012-05-05,16:18:22 Pub 153
41.93692095283016 117.75394920754714 2010-08-06,12:18:28 2010-08-06,12:42:53 Apartment 153
39.90897838317757 116.36357065420565 2011-09-10,05:38:44 2011-09-10,08:16:05 Apartment 153
39.93917805696202 116.42627292405068 2009-07-21,00:52:37 2009-07-21,01:47:02 Pub 153
39.65368365714284 116.39673742857144 2010-12-23,00:14:17 2010-12-23,05:05:03 Apartment 153
25.276977308641985 110.28176211111108 2010-12-23,05:38:02 2010-12-23,06:11:09 Pub 153
25.272968959558824 110.28910705514706 2010-12-23,06:24:38 2010-12-23,07:08:01 Apartment 153
25.25201649484536 110.281283371134 2010-12-23,07:20:44 2010-12-23,07:45:34 Apartment 153
25.271283081632653 110.28537695238096 2010-12-23,09:27:50 2010-12-23,09:49:14 Apartment 153
25.275892674846617 110.28601508282208 2010-12-23,09:54:54 2010-12-23,10:29:39 Apartment 153
25.2769002909091 110.2823274 2010-12-23,10:33:06 2010-12-23,12:45:05 Pub 153
25.27748505333334 110.29311503999996 2010-12-23,12:48:07 2010-12-23,13:11:52 Pub 153
39.97007888 116.44117976 2010-04-21,23:59:50 2010-04-22,01:03:11 Workplace 153
39.99671691780822 116.45633821917802 2010-04-22,02:18:08 2010-04-22,02:40:45 Pub 153
39.98701218518519 116.44912554320987 2010-04-22,03:08:30 2010-04-22,04:15:48 Apartment 153
39.91826281560285 116.42876558865242 2010-04-22,05:10:17 2010-04-22,05:43:20 Apartment 153
39.927599 116.4190461 2010-04-22,05:43:25 2010-04-22,11:08:12 Apartment 153
39.97569835294118 116.33064970588237 2010-04-22,11:27:27 2010-04-22,12:38:46 Workplace 153
23.462712486414063 120.69858142982034 2012-05-13,11:14:04 2012-05-13,14:44:57 Apartment 153
23.50526658338891 120.6950809995192 2012-05-13,15:00:39 2012-05-13,15:58:03 Pub 153
23.487955989714287 120.75506634357144 2012-05-13,16:25:47 2012-05-13,16:51:41 Apartment 153
30.15834417489453 120.2775280348481 2011-11-04,15:19:28 2011-11-04,15:40:36 Pub 153
30.1687563156875 120.30909699845832 2011-11-04,16:01:19 2011-11-04,16:32:54 Apartment 153
30.183900226619475 120.25565110193804 2011-11-04,17:13:54 2011-11-04,17:38:11 Pub 153
39.94193224858695 116.47028010491304 2011-10-22,12:41:34 2011-10-22,13:33:29 Pub 153
39.93274186811112 116.45212984844444 2011-10-22,13:44:58 2011-10-22,16:13:34 Apartment 153
39.97566309090909 116.33125445454544 2009-03-19,11:23:41 2009-03-19,12:55:01 Workplace 153
39.96695447826088 116.34498026086956 2009-03-19,13:12:46 2009-03-19,14:31:59 Pub 153
39.975351 116.33689699999996 2009-07-12,08:12:19 2009-07-12,08:40:28 Workplace 153
39.99073318749999 116.45157685416667 2009-07-12,09:04:49 2009-07-12,10:35:43 Apartment 153
39.98826345161291 116.47599406451614 2010-12-04,05:03:21 2010-12-04,08:43:36 Pub 153
40.00565561538461 116.4616156923077 2010-12-04,09:18:22 2010-12-04,10:34:49 Apartment 153
39.97547652380951 116.3301293571428 2008-07-19,00:31:10 2008-07-19,00:57:51 Apartment 153
39.9321319271496 116.3260459580686 2008-08-14,09:53:48 2008-08-14,12:23:32 Apartment 153
43.7047369435484 7.261542338709672 2009-05-01,10:31:37 2009-05-01,11:01:15 Apartment 153
43.69960989999998 7.264308100000002 2009-05-01,14:37:02 2009-05-01,15:01:04 Restaurant 153
43.69637831724136 7.265132937931034 2009-05-01,15:14:00 2009-05-01,15:40:32 Apartment 153
43.695255921568624 7.265277503267973 2009-05-01,15:50:27 2009-05-01,17:35:38 Apartment 153
32.98589632044199 114.02687377900558 2008-05-05,08:09:25 2008-05-05,08:35:40 Apartment 153
39.98784034375 116.44793946874998 2011-05-20,10:13:44 2011-05-20,13:58:04 Apartment 153
40.02626469736842 116.43082740131575 2010-04-18,03:20:22 2010-04-18,04:34:31 Apartment 153
40.02267121764705 116.19648845882354 2010-04-18,05:32:55 2010-04-18,05:53:40 Pub 153
40.01122641520468 116.19610135672514 2010-04-18,06:13:50 2010-04-18,06:36:03 Pub 153
40.00818300970873 116.19685108252416 2010-04-18,06:36:08 2010-04-18,06:57:23 Apartment 153
39.99751380689658 116.20318424137928 2010-04-18,07:31:38 2010-04-18,08:05:31 Pub 153
39.97537547727273 116.33807570454545 2010-04-18,11:01:03 2010-04-18,12:45:23 Workplace 153
39.89336007499998 116.45253534999998 2009-10-03,05:33:58 2009-10-03,07:48:52 Apartment 153
39.85902618181819 116.46409736363638 2009-10-03,08:01:08 2009-10-03,10:53:34 Apartment 153
44.97851500800001 -93.234174728 2011-08-27,00:29:12 2011-08-27,01:10:24 Pub 153
39.62451076229506 116.30594972540987 2011-05-21,04:22:36 2011-05-21,08:12:46 Apartment 153
39.976456390625 116.47459775 2011-05-21,09:23:31 2011-05-21,14:20:24 Apartment 153
39.92801883870964 116.47228542903224 2008-10-12,05:13:35 2008-10-12,05:57:10 Pub 153
39.98801532653062 116.450930867347 2008-10-12,06:17:07 2008-10-12,07:23:55 Apartment 153
39.986067318681286 116.44971943956044 2008-10-12,07:23:57 2008-10-12,08:19:30 Apartment 153
39.98907164390242 116.43121250487798 2008-10-12,08:45:18 2008-10-12,09:40:49 Apartment 153
39.987178490028505 116.44945014814806 2011-02-21,10:14:01 2011-02-21,10:38:40 Apartment 153
39.98728981333332 116.44845600888888 2011-02-21,10:38:43 2011-02-21,11:03:08 Apartment 153
39.9869591281869 116.44958448016996 2011-02-21,11:03:13 2011-02-21,13:42:04 Apartment 153
39.98607395402298 116.4498740735633 2011-02-21,15:07:47 2011-02-21,15:49:05 Apartment 153
39.9846195994898 116.4509487066328 2011-02-21,15:49:10 2011-02-21,16:37:03 Apartment 153
39.98654933653846 116.45007238461538 2011-02-21,16:42:28 2011-02-21,18:01:10 Apartment 153
39.98718226991872 116.44952590894312 2011-02-21,18:17:21 2011-02-21,19:00:58 Apartment 153
39.98566742328042 116.4526374867726 2011-02-21,19:17:25 2011-02-21,19:39:32 Apartment 153
39.98672754243901 116.44968365463424 2011-02-21,19:46:01 2011-02-21,21:30:37 Apartment 153
39.98728620189272 116.44943344164037 2011-02-21,21:31:16 2011-02-21,21:57:16 Apartment 153
39.98713339726025 116.44930986130126 2011-02-21,22:44:25 2011-02-21,23:48:27 Apartment 153
24.45718211226414 118.06906312398112 2011-12-19,07:24:14 2011-12-19,07:50:22 Apartment 153
24.55186435112001 117.30720730483202 2011-12-19,10:01:31 2011-12-19,11:23:24 Apartment 153
24.624903574400005 117.09767388676008 2011-12-19,11:23:25 2011-12-19,11:56:13 Pub 153
24.5930456189796 117.04199954785378 2011-12-19,12:50:05 2011-12-19,13:38:58 Pub 153
24.62120955205556 117.04535186174604 2011-12-19,13:59:16 2011-12-19,14:29:31 Apartment 153
24.623573492307692 117.04408447248208 2011-12-19,14:29:36 2011-12-19,14:57:19 Apartment 153
24.53648978329167 117.363935486625 2011-12-19,15:52:34 2011-12-19,16:25:13 Apartment 153
24.456061093730952 118.07083290223768 2011-12-19,18:27:22 2011-12-19,18:50:00 Pub 153
24.456651556620866 118.0765462659175 2011-12-19,19:04:48 2011-12-19,19:54:40 Restaurant 153
39.976212571428576 116.44573014285714 2010-04-24,03:10:05 2010-04-24,03:59:23 Apartment 153
39.97532926068379 116.44441588461538 2010-04-24,04:09:16 2010-04-24,04:37:37 Apartment 153
39.97264822857142 116.438921 2010-04-24,04:37:42 2010-04-24,05:15:23 Apartment 153
39.975825307692304 116.33105723076925 2010-04-24,05:17:48 2010-04-24,08:46:52 Workplace 153
39.91682168783069 116.46308248677244 2009-10-31,00:39:10 2009-10-31,01:00:16 Apartment 153
39.939165 116.45193231578948 2009-07-08,06:03:28 2009-07-08,06:44:18 Workplace 153
39.97564841463413 116.3011845121951 2009-07-08,06:49:01 2009-07-08,10:13:58 Pub 153
39.974306294117646 116.33555629411764 2009-07-08,10:16:59 2009-07-08,12:44:26 Pub 153
39.95250514846667 116.40162340474248 2012-05-25,18:25:28 2012-05-25,18:51:37 Restaurant 153
39.95647437730909 116.40156660114545 2012-05-25,18:51:42 2012-05-25,20:36:55 Apartment 153
39.91604890770834 116.44484957843332 2012-05-25,20:52:29 2012-05-26,00:43:22 Pub 153
39.93259925510205 116.44873930612243 2009-08-19,09:43:31 2009-08-19,12:53:22 Apartment 153
39.98575673626375 116.4508753956044 2010-08-10,09:46:42 2010-08-10,10:13:36 Apartment 153
47.627636581395336 -122.14389506976744 2010-11-12,03:34:36 2010-11-12,04:37:03 Restaurant 153
40.07915833333333 116.58228333333318 2007-07-25,00:03:45 2007-07-25,00:48:14 Pub 153
38.59679444444445 117.37342499999984 2007-07-25,00:48:32 2007-07-25,04:09:41 Workplace 153
31.26425555555555 121.44254722222216 2007-07-25,04:34:30 2007-07-25,07:07:01 Apartment 153
31.248748717948736 121.4538846153847 2007-07-25,07:14:23 2007-07-25,08:12:04 Pub 153
31.23565714285714 121.49933333333328 2007-07-25,08:18:37 2007-07-25,09:58:46 Workplace 153
39.93422562068966 116.45196713793104 2008-09-27,01:36:27 2008-09-27,02:15:01 Workplace 153
39.93892362500001 116.3480025625 2008-09-27,02:28:01 2008-09-27,02:54:56 Pub 153
39.91727234951457 116.34716573786412 2008-09-27,03:19:59 2008-09-27,04:19:32 Apartment 153
39.92364836363636 116.34827990909092 2008-09-27,04:30:32 2008-09-27,04:51:42 Apartment 153
